PS_MIO53      1853.84 MIL
PS_MIO52      1951.26 MIL
PS_MIO51      2001.14 MIL
PS_MIO50      1800.32 MIL
PS_MIO49      1760.48 MIL
PS_MIO48      1763.45 MIL
PS_MIO47      1733.16 MIL
PS_MIO46      1319.03 MIL
PS_MIO45      1654.58 MIL
PS_MIO44      1358.27 MIL
PS_MIO43      2062.42 MIL
PS_MIO42      1427.67 MIL
PS_MIO41      1399.52 MIL
PS_MIO40      1428.58 MIL
PS_MIO39      3130.91 MIL
PS_MIO38      2022.38 MIL
PS_MIO37      2241.51 MIL
PS_MIO36      2355.07 MIL
PS_MIO35      1881.33 MIL
PS_MIO34      2575.31 MIL
PS_MIO33      2103.65 MIL
PS_MIO32      3821.34 MIL
PS_MIO31      3555.25 MIL
PS_MIO30      3544.08 MIL
PS_MIO29      3806.12 MIL
PS_MIO28      3507.74 MIL
PS_MIO27      1352.49 MIL
PS_MIO26      1543.44 MIL
PS_MIO25      1199.74 MIL
PS_MIO24      1494.78 MIL
PS_MIO23      1459.9 MIL
PS_MIO22      1410.68 MIL
PS_MIO21      1228.41 MIL
PS_MIO20      1431.49 MIL
PS_MIO19      1616.49 MIL
PS_MIO18      1313.48 MIL
PS_MIO17      1259.03 MIL
PS_MIO16      1314 MIL


IO35_24_P     1235.63 MIL
IO35_24_N      1238.67 MIL
IO35_23_P      925.11 MIL
IO35_23_N      907.06 MIL
IO35_22_P      1028.8 MIL
IO35_22_N      1011.26 MIL
IO35_21_P      1294.23 MIL
IO35_21_N      1296.1 MIL
IO35_20_P      1066.57 MIL
IO35_20_N      1080.87 MIL
IO35_19_P      1153.25 MIL
IO35_19_N      1171.85 MIL
IO35_18_P      1414.86 MIL
IO35_18_N      1412.02 MIL
IO35_17_P      900.56 MIL
IO35_17_N      901.66 MIL
IO35_15_P      1482.76 MIL
IO35_15_N      1479.88 MIL
IO35_14_P      1088.39 MIL
IO35_14_N      1081.2 MIL
IO35_13_P      2283.65 MIL
IO35_13_N      2279.25 MIL
IO35_12_P      1152.96 MIL
IO35_12_N      1150.55 MIL
IO35_11_P      1160.97 MIL
IO35_11_N      1162.5 MIL
IO35_10_P      1030.35 MIL
IO35_10_N      1023.8 MIL
IO35_9_P      828.35 MIL
IO35_9_N      827.66 MIL
IO35_8_P      1857.69 MIL
IO35_8_N      1850.24 MIL
IO35_7_P      763.27 MIL
IO35_7_N      762.59 MIL
IO35_6_P      1170.55 MIL
IO35_6_N      1169.32 MIL
IO35_5_P      1161.11 MIL
IO35_5_N      1163.75 MIL
IO35_3_P      1372.9 MIL
IO35_3_N      1370.08 MIL
IO35_2_N      785.88 MIL
IO35_1_P      821.46 MIL
IO35_1_N      740.86 MIL


IO34_24_P      1488.9 MIL
IO34_24_N      1487.9 MIL
IO34_23_P      1235.73 MIL
IO34_23_N      1239.39 MIL
IO34_22_P      628.9 MIL
IO34_22_N      623.84 MIL
IO34_21_P      495.19 MIL
IO34_21_N      495.2 MIL
IO34_20_P      1540.71 MIL
IO34_20_N      1540.72 MIL
IO34_19_P      832.76 MIL
IO34_19_N      834.43 MIL
IO34_18_P      493.22 MIL
IO34_18_N      491.41 MIL
IO34_17_P      456.67 MIL
IO34_17_N      456.67 MIL
IO34_16_P      546.58 MIL
IO34_16_N      545.48 MIL
IO34_15_P      610.66 MIL
IO34_15_N      607.28 MIL
IO34_14_P      705.2 MIL
IO34_14_N      701.81 MIL
IO34_13_P      1039.74 MIL
IO34_13_N      1035.87 MIL
IO34_11_P      720.68 MIL
IO34_11_N      715.62 MIL
IO34_10_P      548.67 MIL
IO34_10_N      546.86 MIL
IO34_9_P      736.26 MIL
IO34_9_N      733.01 MIL
IO34_8_P      726.65 MIL
IO34_8_N      724.86 MIL
IO34_7_P      701.95 MIL
IO34_7_N      701.95 MIL
IO34_6_P      1343.89 MIL
IO34_6_N      1335.39 MIL
IO34_5_P      1401.12 MIL
IO34_5_N      1400.22 MIL
IO34_4_P      706.37 MIL
IO34_4_N      704.56 MIL
IO34_2_P      1265 MIL
IO34_2_N      1260.32 MIL
IO34_1_P      775.22 MIL
IO34_1_N      775.22 MIL

IO13_22_P      814.53 MIL
IO13_22_N      812.73 MIL
IO13_21_P      1301.3 MIL
IO13_21_N      1300.4 MIL
IO13_20_P      688.47 MIL
IO13_20_N      688.48 MIL
IO13_19_P      1387.96 MIL
IO13_19_N      1390.89 MIL
IO13_18_P      727.65 MIL
IO13_18_N      725.87 MIL
IO13_17_P      1385.21 MIL
IO13_17_N      1387.94 MIL
IO13_16_P      663.09 MIL
IO13_16_N      663.08 MIL
IO13_15_P      688.37 MIL
IO13_15_N      686.56 MIL
IO13_14_P      659.21 MIL
IO13_14_N      659.21 MIL
IO13_13_P      649.42 MIL
IO13_13_N      649.42 MIL
IO13_12_P      1360.64 MIL
IO13_12_N      1358.99 MIL
IO13_11_P      719.63 MIL
IO13_11_N      716.64 MIL
